Date,categoryname,units_sold
01-01-1981,Hair Oil & Serum,20
01-02-1981,Water & Fridge Bottles,28
01-03-1981,Lamp & Lamp Oil,19
01-04-1981,"Laundry, Storage Baskets",44
01-05-1981,Bathing Bars & Soaps,52
01-06-1981,Disinfectant Spray & Cleaners,18
01-07-1981,Face Care,47
01-08-1981,Hand Wash & Sanitizers,50
01-09-1981,Shampoo & Conditioner,82
01-10-1981,"Utensil Scrub-Pad, Glove",99
01-11-1981,Flours & Pre-Mixes,120
01-12-1981,"Luxury Chocolates, Gifts",40
1-13-1981,Face Care,68
1-14-1981,Floor & Other Cleaners,87
1-15-1981,Mosquito Repellent,186
1-16-1981,Soap Cases & Dispensers,54
1-17-1981,Aromatherapy,74
1-18-1981,Roasted Seeds & Nuts,102
1-19-1981,Roasted Seeds & Nuts,214
1-20-1981,Tofu,28
1-21-1981,Tools & Accessories,7
1-22-1981,Imported Noodles,48
1-23-1981,Other Dry Fruits,78
1-24-1981,Gourmet Tea & Tea Bags,57
1-25-1981,Choppers & Graters,50
1-26-1981,Casserole,62
1-27-1981,Granola & Cereal Bars,22
1-28-1981,Other Dry Fruits,109
1-29-1981,Frozen Veg Snacks,133
1-30-1981,Lip Care,11
1-31-1981,Juices,9
02-01-1981,"Bakery Biscuits, Cookies",19
02-02-1981,Men's Deodorants,33
02-03-1981,Green Tea,49
02-04-1981,Containers Sets,32
02-05-1981,Whole Spices,47
02-06-1981,Blended Masalas,27
02-07-1981,Men's Deodorants,69
02-08-1981,Men's Deodorants,49
02-09-1981,Chocolates,60
02-10-1981,Eau De Toilette,27
02-11-1981,Bathing Bars & Soaps,33
02-12-1981,"Cookies, Biscotti, Wafer",18
2-13-1981,Steel Lunch Boxes,72
2-14-1981,"Olive, Jalapeno, Gherkin",81
2-15-1981,"Organic Rice, Other Rice",11
2-16-1981,Shaving Care,13
2-17-1981,Imported Cleaners,28
2-18-1981,Thai & Asian Sauces,16
2-19-1981,Chutney Powder,10
2-20-1981,Cooking Pastes,20
2-21-1981,Gourmet Juices & Drinks,48
2-22-1981,Face & Body,62
2-23-1981,Chocolates,28
2-24-1981,Beans & Pulses,23
2-25-1981,Face Care,6
2-26-1981,"Papads, Ready To Fry",14
2-27-1981,Hair & Scalp Treatment,81
2-28-1981,Baby Health,22
03-01-1981,"Notebooks, Files, Folders",45
03-02-1981,Kitchen Tools & Other Accessories,9
03-03-1981,Pet Meals & Treats,11
03-04-1981,"Chocolate, Peanut Spread",30
03-05-1981,"Marie, Health, Digestive",54
03-06-1981,Shampoo & Conditioner,55
03-07-1981,Face Care,29
03-08-1981,Pet Meals & Treats,9
03-09-1981,Electric Toothbrush,3
03-10-1981,Whole Spices,8
03-11-1981,Pet Collars & Leashes,10
03-12-1981,Toothpaste,233
3-13-1981,Face Care,256
3-14-1981,Aromatherapy,52
3-15-1981,Roasted Seeds & Nuts,18
3-16-1981,Water & Fridge Bottles,58
3-17-1981,Face Care,114
3-18-1981,Kitchen Tools & Other Accessories,226
3-19-1981,Bathing Bars & Soaps,189
3-20-1981,Dry Fruits & Berries,121
3-21-1981,Toothbrush,391
3-22-1981,Chips & Corn Snacks,60
3-23-1981,Imported Soups,26
3-24-1981,Organic Dals & Pulses,155
3-25-1981,Gourmet Ice Cream,91
3-26-1981,Dishwash Bars & Powders,59
3-27-1981,Glassware,32
3-28-1981,International Cheese,51
3-29-1981,"Agarbatti, Incense Sticks",112
3-30-1981,Bathing Bars & Soaps,32
3-31-1981,Cut & Peeled Veggies,54
04-01-1981,Ayurveda,14
04-02-1981,Tawa & Sauce Pan,104
04-03-1981,"Flavoured, Soya Milk",107
04-04-1981,Namkeen & Savoury Snacks,25
04-05-1981,Steel Storage Containers,43
04-06-1981,Men's Deodorants,82
04-07-1981,Hair Removal,84
04-08-1981,Hand Wash & Sanitizers,51
04-09-1981,Aromatherapy,24
04-10-1981,Diapers,173
04-11-1981,Other Edible Oils,22
04-12-1981,Quinoa & Grains,12
4-13-1981,Shampoo & Conditioner,50
4-14-1981,Shower Gel & Body Wash,42
4-15-1981,"Marie, Health, Digestive",31
4-16-1981,Umbrella,41
4-17-1981,Juices,101
4-18-1981,Shampoo & Conditioner,76
4-19-1981,Kadai & Fry Pans,52
4-20-1981,Baby Food,8
4-21-1981,"Agarbatti, Incense Sticks",74
4-22-1981,Body Care,50
4-23-1981,Organic Masalas & Spices,148
4-24-1981,Gourmet Popcorn,77
4-25-1981,Aromatherapy,43
4-26-1981,Organic Fruits,332
4-27-1981,Leaf & Dust Tea,31
4-28-1981,Bowls & Vessels,13
4-29-1981,Pet Meals & Treats,80
4-30-1981,Rusks,77
05-01-1981,Kadai & Fry Pans,23
05-02-1981,Air Freshener,51
05-03-1981,Cabbage & Cauliflower,65
05-04-1981,Lunch Boxes,19
05-05-1981,"Sunflower, Rice Bran Oil",61
05-06-1981,Containers Sets,25
05-07-1981,Chips & Corn Snacks,46
05-08-1981,Lip Care,18
05-09-1981,Supplements & Proteins,33
05-10-1981,Glassware,23
05-11-1981,Cream Biscuits & Wafers,34
05-12-1981,"Banana, Sapota & Papaya",53
5-13-1981,"Lemon, Ginger & Garlic",20
5-14-1981,Chocolates,55
5-15-1981,"Olive, Jalapeno, Gherkin",26
5-16-1981,Glassware,13
5-17-1981,"Baking, Cake Decorations",22
5-18-1981,International Chocolates,44
5-19-1981,Breakfast & Snack Mixes,60
5-20-1981,Water & Fridge Bottles,17
5-21-1981,Plates & Tumblers,30
5-22-1981,"Organic Edible Oil, Ghee",26
5-23-1981,Other Dry Fruits,49
5-24-1981,Lime & Mango Pickle,46
5-25-1981,Powdered Spices,18
5-26-1981,"Milk, White & Sandwich",18
5-27-1981,"Curry Paste, Coconut Milk",17
5-28-1981,Flakes,3
5-29-1981,Flavoured & Other Oils,31
5-30-1981,Glassware,30
5-31-1981,Glassware,10
06-01-1981,Toothbrush,14
06-02-1981,Glassware,31
06-03-1981,"Healthy, Baked Snacks",30
06-04-1981,Hair Removal,24
06-05-1981,"Baking, Cake Decorations",22
06-06-1981,"Pure, Pomace Olive Oil",39
06-07-1981,Water & Fridge Bottles,19
06-08-1981,Quinoa & Grains,68
06-09-1981,Face Care,74
06-10-1981,Air Freshener,14
06-11-1981,Glassware,172
06-12-1981,Hair Color,40
6-13-1981,Bathing Bars & Soaps,156
6-14-1981,Gourmet Tea & Tea Bags,91
6-15-1981,Bibs & Napkins,76
